trip\01\00009.wav=Adam, @20356
trip\08\03858.wav=Uhh -- and now? @1107068
trip\08\03859.wav=Grace...! @1107220
trip\08\03860.wav=Right, maybe if she... uhh... tells us the answer, it will help her confusion, heh! @1107512
trip\08\03861.wav=No...  @1107932
trip\08\03862.wav=No no no, this is just crazy talk, this is crazy talk, just stop it! @1108220
trip\08\03863.wav=Divorce?  Don't talk about divorce!  @1108664
trip\08\03864.wav=Can't you see how harmful it is to even bring that up right now?! @1109044
trip\08\03865.wav=What the hell are you -- @1109436
trip\08\03866.wav=Oh my God!  @1109636
trip\08\03867.wav=Okay, look, let's talk about things that will help us here, okay?  Thank you. @1109932
trip\08\03868.wav=What? @1110332
trip\08\03869.wav=Uhh!  What... I... @1110452
trip\08\03870.wav=Yes, good, that should help her, we need clear this up, although I'm not sure I want to hear the answer! @1110832
trip\08\03871.wav=Really? @1111344
trip\08\03872.wav=Oh God, this is so depressing...  @1111520
trip\08\03873.wav=Oh Jesus, look, I'm not going to talk about sex... @1111860
trip\08\03874.wav=Or our lack thereof... @1112188
trip\08\03875.wav=Well, actually, it will make me feel better to just say, I've tried to make it happen, but, with no luck... @1112612
trip\08\03876.wav=Oh, uhh, okay. @1113140
trip\08\03877.wav=What? @1113288
trip\08\03878.wav=Oh God, this is so depressing...!@1113464
trip\08\03879.wav=What? @1113684
trip\08\03880.wav=Uhh, what the hell...! @1113824
trip\08\03881.wav=What the hell are we talking about here! @1114084
trip\08\03882.wav=This is ridiculous, stop it... @1114416
trip\08\03883.wav=No no, stop it, this is ridiculous, don't -- don't talk about this kind of thing, come on...!@1114848
trip\08\03884.wav=No no, don't talk about... uhh... infidelity... come on... @1115428
trip\08\03885.wav=No, look, I, I -- we, uhh... we all know it's wrong... come on, we don't -- we don't have to... there's -- there's no... @1115960
trip\08\03886.wav=H -- hey, no, hey, uh, hey... c -- come on, Jesus...!    @1116600
trip\08\03887.wav=What? @1116916
trip\08\03888.wav=Uhh... @1117020
trip\08\03889.wav=I, I -- I'm not -- there's -- there's nothing...  @1117208
trip\08\03890.wav=No, you're -- look, you -- you're really -- you're really reading into things here, Grace...  @1117652
trip\08\03891.wav=Look, Maria is just a very important... uhh... client, I, I, I -- I don't know what else to say -- @1118320
trip\08\03892.wav=Well, I guess you are, kind -- kind of... um... I, I, I, I mean, she, she -- she's the client, and, and you're... um.. @1119020
trip\08\03893.wav=There's... nothing... to... understand... heh heh... @1119660
trip\08\03894.wav=Look, I -- no, I'm, uh, I'm, uh -- I'm trying to tell you, there's nothing... Maria... there's nothing... @1120128
trip\08\03895.wav=Pets?  You think we should have pets? @1124040
trip\08\03896.wav=you're saying I'm... not depressing?@1124344
trip\08\03897.wav=Right, I've been trying to stay as positive as I can through all this! @1124724
trip\08\03898.wav=you're saying I'm... depressing?@1125140
trip\08\03899.wav=That's crazy!  All through this I've been trying to be as optimistic as I can! @1125532
trip\08\03900.wav=you're saying we... should not have sex? @1126012
trip\08\03901.wav=Been there, done that... I don't recommend it... @1126360
trip\08\03902.wav=Jesus, what the hell are you talking about?!  That makes no sense! @1126788
trip\08\03903.wav=What?! Where did that come from?  You're not making sense! @1127269
trip\08\03904.wav=What?!  Who the hell is Vince?  Stop talking nonsense! @1127704
trip\08\03905.wav=What?!  That makes no sense! @1128072
trip\08\03906.wav=No, uhh... @1128276
trip\08\03907.wav=what I need is to figure out what hell is going here... @1128516
trip\08\03908.wav=we just need to get this all under control, that's what we need... @1128984
trip\08\03909.wav=Look, just quit taking sides, it's going to do more harm than good! @1129500
trip\08\03910.wav=Look, quit taking sides already, it's just going to make it worse! @1130016
trip\08\03911.wav=Hey, no, it's just going to make this whole thing even worse if you keep criticizing me! @1130560
trip\08\03912.wav=No don't criticize me anymore, it's just going to turn this even more ugly! @1131192
trip\08\03913.wav=Look, just quit the flirting right now, I'm warning you! @1131704
trip\08\03914.wav=Look, quit the flirting already, I'm not going to put up with that at this point! @1132212
trip\08\03915.wav=Come on, @1120648
trip\08\03916.wav=does it look like I want to fix you drinks right now?@1120896
trip\08\03917.wav=come on, I don't feel like fixing drinks at this moment!@1121332
trip\08\03918.wav=are you implying I... could be seen as controlling?  Uhh... no... @1121760
trip\08\03919.wav=you're saying... I'm not a loving person?  Uhh... no... @1122200
trip\08\03920.wav=are you imagining I'm somehow... not communicative? @1122636
trip\08\03921.wav=I'm not depressed?  W -- what are you saying...@1123344
trip\08\03922.wav=are you implying I... I could be afraid? @1123008
trip\08\03923.wav=you're saying I'm... not angry?  Uhh... yeah... @1123688
trip\08\03924.wav=go over and talk to Grace.  Go over there.  We -- we need to talk about Grace.@1163436
trip\08\03925.wav=go over and talk to Grace.  Go over there.  We -- we need to keep talking about Grace.@1164020
trip\08\03926.wav=why don't you stand _between_ us, we need to talk about _both_ of us.@1164624
trip\08\03927.wav=why don't you stand _between_ us, we need to keep talking about _both_ of us.@1165176
trip\08\03928.wav=Yeah, good, @1165580
trip\08\03929.wav=stay over there, let's talk about Grace.@1165800
trip\08\03930.wav=Yeah, good, @1166056
trip\08\03931.wav=stay over there, let's keep talking about Grace.@1166292
trip\08\03932.wav=Yeah, good, @1166580
trip\08\03933.wav=keep standing there between us, we need to talk about _both_ of us.  @1166876
trip\08\03934.wav=Yeah, good, @1167248
trip\08\03935.wav=keep standing there between us, we need to keep talking about us _both_.  @1167552
trip\08\03936.wav=explain this to me!@1167984
trip\08\03937.wav=what is it, is there something about me?@1168236
trip\08\03938.wav=if there's something about me, just tell me what it is!@1168612
trip\08\03939.wav=what, is there something I should do?@1168992
trip\08\03940.wav=give me some advice here...!@1169284
trip\08\03941.wav=tell me how I should be... I -- I mean...@1169548
trip\08\03942.wav=maybe you can explain this to me...@1169876
trip\08\03943.wav=I mean, is there something about me...?@1170172
trip\08\03944.wav=if -- if there's something about me, please tell me what it is...@1170540
trip\08\03945.wav=I mean, is there something I should do...?@1170956
trip\08\03946.wav=please give me some advice here...@1171272
trip\08\03947.wav=just tell me how I should be... I -- I mean...@1171568
trip\08\03948.wav=I mean, @1171844
trip\08\03949.wav=I mean, @1171968
trip\08\03950.wav=I mean, @1172092
trip\08\03951.wav=I mean, @1172216
trip\08\03952.wav=explain this to her!@1172380
trip\08\03953.wav=help her understand!@1172592
trip\08\03954.wav=could you give her some advice or something!@1172852
trip\08\03955.wav=maybe she needs to hear it from you!@1173196
trip\08\03956.wav=Oh God, I cannot believe this...@1173488
trip\08\03957.wav=oh my god...@1173716
trip\08\03958.wav=Uhh, this is insane...@1173884
trip\08\03959.wav=Uhh, I, I -- I can't believe this...@1174112
trip\08\03960.wav=Goddammit...@1174360
trip\08\03961.wav=Uhh...@1174488
trip\08\03962.wav=Uhh...@1174592
trip\08\03963.wav=Uhh...@1174696
trip\08\03964.wav=Uhh...@1174800
trip\08\03965.wav=Uhh...@1174904
trip\08\03966.wav=What... I -- I -- just... uhh...@1175044
trip\08\03967.wav=Ugh!@1175256
trip\08\03968.wav=this is so...@1175376
trip\08\03969.wav=You know... uhh...@1175524
trip\08\03970.wav=Why can't... uhh...@1175700
trip\08\03971.wav=How can you say... uhh...@1175888
trip\08\03972.wav=W -- what... uhh...@1176084
trip\08\03973.wav=Uhh...@1176240
trip\08\03974.wav=Just -- eh -- uhh...@1176364
trip\08\03975.wav=Uhh...@1176524
trip\08\03976.wav=Uhh...@1176628
trip\08\03977.wav=Uhh...@1176732
trip\08\03978.wav=Uhh...@1176836
trip\08\03979.wav=Oh, geez...@1176952
trip\08\03980.wav=Uhh...@1177076
trip\08\03981.wav=Uhh... oh...@1177184
trip\08\03982.wav=Uhh...@1177312
trip\08\03983.wav=What is she trying to do me?@1177476
trip\08\03984.wav=What is her problem?  Please, tell me, what is her problem?@1177784
trip\08\03985.wav=Is it me?  Just tell me if it's me, please...!@1178196
trip\08\03986.wav=Look, just give me a minute, uhh...@1178532
trip\08\03987.wav=Look, just stop talking for a second, would you? @1178868
trip\08\03988.wav=Look, let me have a second here...@1179216
trip\08\03989.wav=Jesus... should I just leave?  Do you just want me to leave, huh?@1179572
trip\08\03990.wav=Uhh, I -- I cannot frigging believe this!!  Uhh!!@1179988
trip\08\03991.wav=Christ, would you all just please give me a goddamn break!!  Uhh!!@1180396
trip\08\03992.wav=No, don't, don't -- don't even talk to me... uhh...@1180840
trip\08\03993.wav=No, don't, don't -- don't even say anything to me... just... uhh...@1181256
trip\08\03994.wav=No, just -- just leave me alone, I don't -- I don't need to hear it... uhh...@1181756
trip\08\03995.wav=Oh my God... I cannot frigging believe this... uhh...@1182236
trip\08\03996.wav=Oh God... this is so frigging insane... uhh...@1182604
trip\08\03997.wav=Oh God... what is happening here... uhh...@1182932
trip\08\03998.wav=No, uhh... come on, just -- just give me a second here... uhh...@1183300
trip\08\03999.wav=No, wait, just give a minute, would you...@1183724
trip\08\04000.wav=No, hold -- hold on, let me just... I just need a... uhh...@1184084
trip\09\04001.wav=Uhh, this is too much, I can't take this...@1184484
trip\09\04002.wav=Uhh, you... uhh... does anyone... uhh -- uhh...@1184792
trip\09\04003.wav=Uhh, you... uhh... come on, somebody, just... uhh...@1185140
trip\09\04004.wav=No, leave me alone for a second, alright? @1185528
trip\09\04005.wav=No, don't, don't talk me right now...@1185852
trip\09\04006.wav=No, don't -- don't say anything to me... just leave me alone a second...@1186240
trip\09\04007.wav=Yes?@1158348
trip\09\04008.wav=Yes?@1158452
trip\09\04009.wav=Yes?@1158556
trip\09\04010.wav=Yes?@1158660
trip\09\04011.wav=Yes?@1158764
trip\09\04012.wav=Yes?@1158868
trip\09\04013.wav=No?@1158968
trip\09\04014.wav=No?@1159064
trip\09\04015.wav=No?@1159160
trip\09\04016.wav=No?@1159256
trip\09\04017.wav=No?@1159352
trip\09\04018.wav=No?@1159448
trip\09\04019.wav=Why?@1159544
trip\09\04020.wav=Why?@1159644
trip\09\04021.wav=Why?@1159744
trip\09\04022.wav=Why?@1159844
trip\09\04023.wav=Why?@1159944
trip\09\04024.wav=Why?@1160044
trip\09\04025.wav=What?@1160148
trip\09\04026.wav=What?@1160256
trip\09\04027.wav=What?@1160364
trip\09\04028.wav=What?@1160472
trip\09\04029.wav=What?@1160580
trip\09\04030.wav=What?@1160688
trip\09\04031.wav=When?@1160796
trip\09\04032.wav=When?@1160904
trip\09\04033.wav=When?@1161012
trip\09\04034.wav=When?@1161120
trip\09\04035.wav=When?@1161228
trip\09\04036.wav=When?@1161336
trip\09\04037.wav=Where?@1161444
trip\09\04038.wav=Where?@1161556
trip\09\04039.wav=Where?@1161668
trip\09\04040.wav=Where?@1161780
trip\09\04041.wav=Where?@1161892
trip\09\04042.wav=Where?@1162004
trip\09\04043.wav=Who?@1162108
trip\09\04044.wav=Who?@1162204
trip\09\04045.wav=Who?@1162300
trip\09\04046.wav=Who?@1162396
trip\09\04047.wav=Who?@1162492
trip\09\04048.wav=Who?@1162588
trip\09\04049.wav=How?@1162684
trip\09\04050.wav=How?@1162780
trip\09\04051.wav=How?@1162876
trip\09\04052.wav=How?@1162972
trip\09\04053.wav=How?@1163068
trip\09\04054.wav=How?@1163164
trip\09\04055.wav=Uhh,  @1132620
trip\09\04056.wav=we went over that already, didn't we?@1132828
trip\09\04057.wav=Uhh,  @1133056
trip\09\04058.wav=we already talked about that, am I wrong?@1133264
trip\09\04059.wav=Jesus,  @1133524
trip\09\04060.wav=we've already talked about that, alright? @1133740
trip\09\04061.wav=Christ,  @1134000
trip\09\04062.wav=haven't we already talked about that?@1134216
trip\09\04063.wav=Oh, Jesus Christ,  @1134480
trip\09\04064.wav=would just quit it with that?  Uhh!@1134720
trip\09\04065.wav=Oh, God,  @1134952
trip\09\04066.wav=would you stop it with that stuff already? @1135184
trip\09\04067.wav=Jesus,  @1135452
trip\09\04068.wav=why do you keep bringing that same topic up? @1135668
trip\09\04069.wav=Christ,  @1135940
trip\09\04070.wav=you keep bringing that same topic up, you know that?  @1136172
trip\09\04071.wav=Jesus,  @1136484
trip\09\04072.wav=you keep obsessing about Grace's stuff, you know that?  @1136724
trip\09\04073.wav=Christ,  @1137040
trip\09\04074.wav=can we possibly talk any more about Grace's stuff tonight?  @1137312
trip\09\04075.wav=we've heard enough praise! @1137684
trip\09\04076.wav=no more praise, please! @1137920
trip\09\04077.wav=quit it with that stuff! @1138164
trip\09\04078.wav=stop it with that stuff! @1138412
trip\09\04079.wav=quit with the criticism!@1138668
trip\09\04080.wav=stop it with the criticism!@1138928
trip\09\04081.wav=from what you said before,@1145464
trip\09\04082.wav=in what you said before,@1145712
trip\09\04083.wav=about marriage...@1145928
trip\09\04084.wav=about saying yes...@1146120
trip\09\04085.wav=about wanting things...@1146328
trip\09\04086.wav=about letting things go...@1146556
trip\09\04087.wav=about what's important...@1146812
trip\09\04088.wav=about believing your spouse...@1147064
trip\09\04089.wav=uh -- about flirting...@1147304
trip\09\04090.wav=about being in sync...@1147524
trip\09\04091.wav=I think we've already learned something about Grace.@1147808
trip\09\04092.wav=I think that tells us something about Grace.@1148196
trip\09\04093.wav=I think that shows us something about Grace.@1148548
trip\09\04094.wav=Grace is just so...@1148852
trip\09\04095.wav=Grace can just be so...@1149068
trip\09\04096.wav=Grace is sometimes so...@1149300
trip\09\04097.wav=Oh, we're talking about me, are we?@1150608
trip\09\04098.wav=Oh ho, so we're talking about me, are we?@1150916
trip\09\04099.wav=Oh, we're talking about me again, are we?@1151252
trip\09\04100.wav=What?@1151504
trip\09\04101.wav=What?@1151612
trip\09\04102.wav=Grace, you're -- you're just so...@1149532
trip\09\04103.wav=Grace you -- you can just be so...@1149816
trip\09\04104.wav=Grace you -- you're sometimes so...@1150096
trip\09\04105.wav=What?@1150324
trip\09\04106.wav=What?@1150432
trip\09\04107.wav=Look, let's talk about Grace now.@1151792
trip\09\04108.wav=Okay, okay, let's talk about Grace.@1152088
trip\09\04109.wav=You know, let's -- let's talk about Grace.@1152400
trip\09\04110.wav=Look, I think we should focus on Grace.@1152736
trip\09\04111.wav=No, I want us to focus on Grace.@1153060
trip\09\04112.wav=Look, let's talk about us both, not just one of us.@1153404
trip\09\04113.wav=Look, let's not focus on just me or you, let's talk about us both.@1153864
trip\09\04114.wav=No we need -- we need to talk about us both, not just one.@1154356
trip\09\04115.wav=No, let's switch to talking about Grace.@1154764
trip\09\04116.wav=Look, let's switch the focus to Grace.@1155100
trip\09\04117.wav=Okay, no, I want to focus on Grace.@1155424
trip\09\04118.wav=Let's keep talking about Grace.@1155720
trip\09\04119.wav=Let's continue focusing on Grace.@1156020
trip\09\04120.wav=Let's keep our focus on Grace.@1156312
trip\09\04121.wav=Let's talk some more about Grace.@1156596
trip\09\04122.wav=Let's keep talking about us both, not just one of us.@1156948
trip\09\04123.wav=Let's keep the focus on us, not just one person.@1157372
trip\09\04124.wav=Let's talk some more about us both.@1157736
trip\09\04125.wav=Ah!@1157956
trip\09\04126.wav=Ah!@1158048
trip\09\04127.wav=Aha!@1158144
trip\09\04128.wav=Aha!@1158244
trip\09\04129.wav=where are you going?  Don't leave the room, we need your help out here!@1139268
trip\09\04130.wav=where are you going?  Don't hide in the kitchen, we need you out here!@1139780
trip\09\04131.wav=where are you?  Don't run off, you need to help us deal with this!@1140292
trip\09\04132.wav=come on, stop running away!  You started this mess, you need to help fix it!@1140828
trip\09\04133.wav=where are you?!  Come back!  You started this mess, you need to help fix it!@1141392
trip\09\04134.wav=hey, quit leaving the room!  You can't start this mess and then leave us to fix it!@1141980
trip\09\04135.wav=where are you going?  Don't leave, we need your help here!@1142516
trip\09\04136.wav=where are you going?  Don't go, please, we need you here!@1142944
trip\09\04137.wav=hey, don't go, come on, you need to help us deal with this!@1143388
trip\09\04138.wav=come on, don't run away!  You started this mess, you need to help fix it!@1143892
trip\09\04139.wav=wait!  You can't leave!  You started this mess, you need to help fix it!@1144440
trip\09\04140.wav=hey, don't -- don't go!  You can't start this mess and then leave us to fix it!@1145000
trip\09\04141.wav=Yes...!@1245096
trip\09\04142.wav=Yes...!@1245212
trip\09\04144.wav=Grace!@1245328
trip\09\04145.wav=Grace!@1245440
trip\09\04147.wav=Okay, I'm sick of this bullshit!!@1186680
trip\09\04148.wav=Okay, I've had enough of this bullshit!!@1186976
trip\09\04149.wav=Okay, that's it, no more of this bullshit!!@1187312
trip\09\04150.wav=I know what you're hinting at...@1187620
trip\09\04151.wav=I know what you're trying to hint at...@1187900
trip\09\04152.wav=I know what you're hinting at, okay?!@1188204
trip\09\04153.wav=about me... @1188460
trip\09\04154.wav=about me... @1188616
trip\09\04155.wav=about us... @1188772
trip\09\04156.wav=about us... @1188928
trip\09\04157.wav=about art... @1189088
trip\09\04158.wav=about art... @1189252
trip\09\04159.wav=about our marriage...@1189432
trip\09\04160.wav=about our marriage...@1189644
trip\09\04161.wav=about our lifestyle...@1189864
trip\09\04162.wav=about our lifestyle...@1190088
trip\09\04163.wav=No,  @1190260
trip\09\04164.wav=No,  @1190364
trip\09\04165.wav=hold on, hold on, let me speak!@1190536
trip\09\04166.wav=hold on, hold on, let me finish!@1190816
trip\09\04167.wav=Do you two want the truth?  Huh?  @1191092
trip\09\04168.wav=Do you really want the truth? Huh?@1191384
trip\09\04169.wav=do you want to hear it?  @1191660
trip\09\04170.wav=are you ready to hear it?@1191900
trip\09\04171.wav=Grace, huh?@1192092
trip\09\04172.wav=Grace?@1192224
trip\09\04173.wav=well?@1192344
trip\09\04174.wav=say something!@1192477
trip\09\04176.wav=No,  @1192616
trip\09\04177.wav=No,  @1192720
trip\09\04178.wav=just, yes or no, do you want the truth?@1192912
trip\09\04179.wav=just, yes or no, do you want to hear the truth?@1193256
trip\09\04180.wav=See, @1193528
trip\09\04181.wav=I've been paying attention to what you've been saying tonight.@1193760
trip\09\04182.wav=see I've actually been paying close attention to what you've been saying.@1194252
trip\09\04185.wav=You've really been pushing me tonight.@1194704
trip\09\04186.wav=You've been pushing me tonight.@1195000
trip\09\04187.wav=You've been trying to push me.@1195264
trip\09\04188.wav=You're trying to push me tonight.@1195532
trip\09\04189.wav=It makes me wonder if you're really my friend or not.@1195876
trip\09\04190.wav=And I wonder, are you really my friend or not.@1196280
trip\09\04191.wav=Quit interrupting me, let me speak!@1196628
trip\09\04192.wav=Quit interrupting me, let me finish!@1196936
trip\09\04193.wav=And... we've been arguing and arguing and it's just not going anywhere.@1197348
trip\09\04194.wav=And... it's just not going anywhere, it's just been a lot of pointless bickering.@1197908
trip\09\04195.wav=I ask you this -- yes or no...@1198372
trip\09\04196.wav=come on -- yes or no...@1198616
trip\09\04197.wav=Do you really think that...@1198836
trip\09\04198.wav=Do you really think that...@1199072
trip\09\04199.wav=praising me...@1199288
trip\09\04200.wav=praising Grace...@1199456
trip\09\04201.wav=criticizing Grace...@1199652
trip\09\04202.wav=flirting with me...@1199852
trip\09\04203.wav=kissing me...@1200036
trip\09\04204.wav=asking if we're okay?...@1200220
trip\09\04205.wav=talking about the wedding picture...@1200472
trip\09\04206.wav=talking about italy...@1200752
trip\09\04207.wav=talking about work...@1200964
trip\09\04208.wav=talking about our apartment...@1201208
trip\09\04209.wav=talking about art...@1201456
trip\09\04210.wav=talking about my parents...@1201688
trip\09\04211.wav=talking about Grace's parents...@1201960
trip\09\04212.wav=criticizing me...@1202212
trip\09\04213.wav=flirting with Grace...@1202404
trip\09\04214.wav=kissing Grace...@1202604
trip\09\04215.wav=talking about marriage...@1202804
trip\09\04216.wav=talking about divorce...@1203044
trip\09\04217.wav=talking about sex...@1203272
trip\09\04218.wav=talking about therapy...@1203492
trip\09\04219.wav=talking about infidelity...@1203744
trip\09\04220.wav=almost always siding with Grace...@1204020
trip\09\04221.wav=acting inappropriately to me...@1204312
trip\09\04222.wav=acting inappropriately to Grace...@1204596
trip\09\04223.wav=acting like you're going to leave...@1204888
trip\09\04224.wav=leaving the room on us...@1205168
trip\09\04225.wav=telling me I'm controlling...@1205412
trip\09\04226.wav=saying that Grace is controlling...@1205684
trip\09\04227.wav=saying that Grace is loving...@1205968
trip\09\04228.wav=telling me I'm not loved...@1206232
trip\09\04229.wav=saying that Grace is not loved...@1206496
trip\09\04230.wav=telling me I'm depressing...@1206768
trip\09\04231.wav=saying that Grace is depressing...@1207032
trip\09\04232.wav=telling me I'm depressed...@1207308
trip\09\04233.wav=saying that Grace is depressed...@1207568
trip\09\04234.wav=telling me I'm communicative...@1207864
trip\09\04235.wav=saying that Grace is communicative...@1208164
trip\09\04236.wav=telling me I'm not communicative...@1208488
trip\09\04237.wav=saying that Grace is not communicative...@1208816
trip\09\04238.wav=telling me I'm afraid...@1209112
trip\09\04239.wav=saying that Grace is afraid...@1209352
trip\09\04240.wav=telling me I'm not afraid...@1209616
trip\09\04241.wav=saying that Grace is not afraid...@1209884
trip\09\04242.wav=telling me I'm angry...@1210152
trip\09\04243.wav=saying that Grace is angry...@1210388
trip\09\04244.wav=telling me I'm not angry...@1210648
trip\09\04245.wav=saying that Grace is not angry...@1210912
trip\09\04246.wav=not defending me when I asked you if I was to blame...@1211260
trip\09\04247.wav=telling me to make art...@1211616
trip\09\04248.wav=telling Grace to make art...@1211860
trip\09\04249.wav=telling me to quit my job...@1212124
trip\09\04250.wav=telling Grace to quit her job...@1212388
trip\09\04251.wav=suggesting that we have more sex...@1212688
trip\09\04252.wav=suggesting that we get divorced...@1213004
trip\09\04253.wav=suggesting that we separate...@1213296
trip\09\04254.wav=suggesting that we have kids...@1213576
trip\09\04255.wav=suggesting that we get a pet...@1213864
trip\09\04256.wav=and worst of all, @1214104
trip\09\04257.wav=and worst of all, @1214292
trip\09\04258.wav=saying I need to be more loving...@1214512
trip\09\04259.wav=telling me I'm lying...@1214768
trip\09\04260.wav=saying that Grace is lying...@1214992
trip\09\04261.wav=telling me I'm to blame...@1215236
trip\09\04262.wav=saying that Grace is to blame...@1215480
trip\09\04263.wav=suggesting that I don't love Grace...@1215772
trip\09\04264.wav=suggesting that Grace doesn't love me...@1216096
trip\09\04265.wav=suggesting that I'm cheating on Grace...@1216420
trip\09\04266.wav=suggesting that Grace is cheating on me...@1216752
trip\09\04267.wav=suggesting that I'm cheating on Grace...@1217084
trip\09\04268.wav=suggesting that Grace is cheating on me...@1217416
trip\09\04269.wav=suggesting that I hate my parents...@1217752
trip\09\04270.wav=suggesting that I hate Grace's parents...@1218076
trip\09\04271.wav=suggesting that Grace hates my parents...@1218420
trip\09\04272.wav=suggesting that Grace hates her parents...@1218760
trip\09\04273.wav=but especially what you said about giving advice to your wife...@1219164
trip\09\04274.wav=but especially what you said about wanting the same thing as your husband...@1219680
trip\09\04275.wav=but especially what you said about how marriage is supposed to be the most important thing...@1220292
trip\09\04276.wav=but especially what you said about bringing up bad things from the past...@1220912
trip\09\04277.wav=but especially what you said about trying to change the other person...@1221444
trip\09\04278.wav=but especially what you said about having more in life and marriage...@1221972
trip\09\04279.wav=but especially what you said about saying 'yes' to the other person...@1222484
trip\09\04280.wav=but especially what you said about believing what other person is saying...@1223012
trip\09\04281.wav=but especially what you said about harmless flirting...@1223516
trip\09\04282.wav=but especially what you said about being in sync with each other in a marriage...@1223992
trip\09\04283.wav=and what you said about giving advice to your wife... @1224528
trip\09\04284.wav=and what you said about wanting the same thing as your husband... @1224980
trip\09\04285.wav=and what you said about how marriage is supposed to be the most important thing... @1225528
trip\09\04286.wav=and what you said about bringing up bad things from the past... @1226084
trip\09\04287.wav=and what you said about trying to change the other person... @1226552
trip\09\04288.wav=and what you said about having more in life and marriage... @1227016
trip\09\04289.wav=and what you said about saying 'yes' to the other person... @1227464
trip\09\04290.wav=and what you said about believing what other person is saying... @1227928
trip\09\04291.wav=and what you said about harmless flirting... @1228368
trip\09\04292.wav=and what you said about being in sync with each other in a marriage... @1228780
trip\09\04293.wav=and you don't even say 'yes' when I ask you if you want the truth...@1229308
trip\09\04294.wav=that it's all supposed to make me realize something about myself?@1229828
trip\09\04295.wav=that all that is supposed to help me understand something about myself?@1230356
trip\09\04296.wav=that I'm supposed to realize something about myself from all that?@1230888
trip\09\04297.wav=that we'll somehow realize something about our marriage?@1231360
trip\09\04298.wav=that all that is supposed to help us realize something about us?@1231824
trip\09\04299.wav=that we're supposed to now understand something about ourselves from all that?@1232356
trip\09\04300.wav=No,  @1232752
trip\09\04301.wav=Wait,  @1232860
trip\09\04302.wav=let me finish!@1233004
trip\09\04303.wav=let me finish!@1233176
trip\09\04304.wav=Is what you've said tonight supposed to add up somehow, to something?@1233464
trip\09\04305.wav=Is all of that arguing intended to mean something, or...@1233956
trip\09\04306.wav=Is what you've said tonight supposed to add up somehow, to something?@1234412
trip\09\04307.wav=Is what little you've said tonight supposed to add up somehow to something?@1234940
trip\09\04308.wav=Was the little you've said tonight intended to mean something, or...@1235480
trip\09\04309.wav=Is the little you've said tonight supposed to add up to something meaningful, or... what?@1236032
trip\09\04310.wav=Is it?  I just want a yes or no.@1236556
trip\09\04311.wav=Is it?  Just give me a yes or no.@1236852
trip\09\04312.wav=This is not a trick question.@1237136
trip\09\04313.wav=Okay.@1237340
trip\09\04314.wav=Right.@1237448
trip\09\04315.wav=Alright.@1237568
trip\09\04316.wav=No?  Huh... I'm surprised you say that, I thought it did. @1237780
trip\09\04317.wav=No?  Oh... I'm surprised, I would have said yes, it did mean something.@1238228
trip\09\04318.wav=No?  Huh, well, I thought it did add up to something, actually.@1238724
trip\09\04319.wav=No, @1239060
trip\09\04320.wav=No, @1239160
trip\09\04321.wav=I just want a yes or no.@1239320
trip\09\04322.wav=just give me a yes or no.@1239560
trip\09\04323.wav=No, no, it doesn't add up to anything.@1239828
trip\09\04324.wav=No, no, actually it doesn't add up to anything.@1240180
trip\09\04325.wav=No, no, it doesn't actually add up to anything.@1240568
trip\09\04326.wav=No, of course not.  It doesn't add up to anything.@1240952
trip\09\04327.wav=No, you're right, it doesn't add up to anything.@1241336
trip\09\04328.wav=No, no, of course, it doesn't add up to anything.@1241720
trip\09\04329.wav=See, you haven't told me anything I didn't already know.@1242140
trip\09\04330.wav=So, you see, you haven't told me anything I didn't already know.@1242604
trip\09\04331.wav=I guess you didn't tell me anything I didn't already know.@1243092
trip\09\04332.wav=don't leave yet!@1243440
trip\09\04333.wav=don't leave now!@1243616
trip\09\04334.wav=come back here!  Are you ready for that?@1243844
trip\09\04335.wav=Don't run away!@1244120
trip\09\04336.wav=Get back here!  Yes or no?@1244316
trip\09\04337.wav=Get back here!@1244528
trip\09\04338.wav=Don't try to hide!@1244700
trip\09\04339.wav=Don't hide, get back here!@1244904
trip\09\04340.wav=Bullshit.@1245564
trip\09\04341.wav=You've been secretly painting?  When --@1245756
trip\09\04342.wav=Jesus --@1246008
trip\09\04343.wav=uhh...@1246120
trip\09\04344.wav=Grace, I know you want to be an artist.@1246316
trip\09\04345.wav=But I could never be married to you if you were.  @1246652
trip\09\04346.wav=I can't... I -- I just can't...@1246988
trip\09\04347.wav=When I married you, see, I was sure I could convince you to give it up, to -- to go into advertising.@1247432
trip\09\04348.wav=And -- and I did it, and it worked.@1247992
trip\09\04349.wav=But now... I -- I don't know, Grace...@1248272
trip\09\04350.wav=I don't know...@1248528
trip\09\04351.wav=You let me --@1248692
trip\09\04352.wav=uhh...@1248824
trip\09\04353.wav=What?!@1254664
trip\09\04354.wav=An art major named Vince --@1254828
trip\09\04355.wav=Y -- y -- you what?@1255040
trip\09\04356.wav=Uhh... huhh... ho... wow... uhh...@1255216
trip\09\04357.wav=Uhh... I'm glad you finally told me.@1255508
trip\09\04358.wav=Grace...@1255740
trip\09\04359.wav=uhh...@1255852
trip\09\04360.wav=I've been having an affair.@1256008
trip\09\04361.wav=It's over now, though.@1256228
trip\09\04362.wav=with the client, in, uh, Barcelona.@1256480
trip\09\04363.wav=I was lonely, Grace.@1256740
trip\09\04364.wav=But, but, I -- I regret it, I really, really regret it.@1257012
trip\09\04365.wav=uhh...@1257312
